2021/05/18 14:38:01 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 16.0, eltérés: 20,00%
2021/05/18 14:38:42 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 16.0, eltérés: 20,00%
2021/05/18 14:38:42 [EEI23EE12D] kívánt: 22.0, jelenlegi: 17.0, eltérés: 22,73%
2021/05/18 14:39:21 [KD34AF24DS] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:39:21 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 15.0, eltérés: 25,00%
2021/05/18 14:39:41 [EEI23EE12D] kívánt: 22.0, jelenlegi: 17.0, eltérés: 22,73%
2021/05/18 14:40:00 [KD34AF24DS] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:40:00 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 15.0, eltérés: 30,23%
2021/05/18 14:40:00 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 16.0, eltérés: 20,00%
2021/05/18 14:40:41 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 15.0, eltérés: 30,23%
2021/05/18 14:40:59 [KD34AF24DS] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:40:59 [EEI23EE12D] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:41:20 [EEI23EE12D] kívánt: 22.0, jelenlegi: 15.0, eltérés: 31,82%
2021/05/18 14:41:38 [TE34WS3224] kívánt: 21.0, jelenlegi: 16.0, eltérés: 23,81%
2021/05/18 14:41:38 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 24.0, eltérés: 20,00%
2021/05/18 14:41:55 [TE34WS3224] kívánt: 21.0, jelenlegi: 16.0, eltérés: 23,81%
2021/05/18 14:41:55 [EEI23EE12D] kívánt: 22.0, jelenlegi: 15.0, eltérés: 31,82%
2021/05/18 14:42:15 [TE34WS3224] kívánt: 21.0, jelenlegi: 16.0, eltérés: 23,81%
2021/05/18 14:42:15 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 15.0, eltérés: 25,00%
2021/05/18 14:42:34 [KD34AF24DS] kívánt: 22.0, jelenlegi: 17.0, eltérés: 22,73%
2021/05/18 14:42:34 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 17.0, eltérés: 20,93%
2021/05/18 14:42:34 [TE34WS3224] kívánt: 21.0, jelenlegi: 16.0, eltérés: 23,81%
2021/05/18 14:42:34 [EEI23EE12D] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:43:13 [TE34WS3224] kívánt: 21.0, jelenlegi: 16.0, eltérés: 23,81%
2021/05/18 14:43:13 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 16.0, eltérés: 20,00%
2021/05/18 14:43:13 [EEI23EE12D] kívánt: 22.0, jelenlegi: 17.0, eltérés: 22,73%
2021/05/18 14:43:33 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 17.0, eltérés: 20,93%
2021/05/18 14:43:33 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 16.0, eltérés: 20,00%
2021/05/18 14:43:33 [EEI23EE12D] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:43:52 [KD34AF24DS] kívánt: 22.0, jelenlegi: 15.0, eltérés: 31,82%
2021/05/18 14:43:52 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 15.0, eltérés: 30,23%
2021/05/18 14:43:52 [EEI23EE12D] kívánt: 22.0, jelenlegi: 15.0, eltérés: 31,82%
2021/05/18 14:44:10 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 16.0, eltérés: 25,58%
2021/05/18 14:44:10 [EEI23EE12D] kívánt: 22.0, jelenlegi: 15.0, eltérés: 31,82%
2021/05/18 14:44:31 [KD34AF24DS] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:44:31 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 16.0, eltérés: 25,58%
2021/05/18 14:44:31 [EEI23EE12D] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:44:51 [KD34AF24DS] kívánt: 22.0, jelenlegi: 17.0, eltérés: 22,73%
2021/05/18 14:44:51 [EEI23EE12D] kívánt: 22.0, jelenlegi: 17.0, eltérés: 22,73%
2021/05/18 14:45:12 [EEI23EE12D] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:45:32 [KD34AF24DS] kívánt: 22.0, jelenlegi: 15.0, eltérés: 31,82%
2021/05/18 14:45:32 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 16.0, eltérés: 20,00%
2021/05/18 14:45:32 [EEI23EE12D] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
